scenario_id,radius_km,client_tw_hours,client_tw_start,client_tw_end,depot_tw_start,depot_tw_end,service_time_sec,pharmacies_count,vehicles_used,total_distance_km,total_time_sec,execution_time_sec,status,timestamp
05_08_30,5,8,25200,54000,18000,68400,1800,54,4,44.290800000000004,95966,21.18160104751587,OK,2025-12-09T17:49:50.943958
05_09_05,5,9,25200,57600,18000,68400,300,54,2,37.3376,20741,60.99203586578369,OK,2025-12-09T17:50:52.000079
05_09_10,5,9,25200,57600,18000,68400,600,54,2,36.56649999999999,36182,82.96129703521729,OK,2025-12-09T17:52:15.050167
05_09_15,5,9,25200,57600,18000,68400,900,54,2,39.2756,52082,21.998231887817383,OK,2025-12-09T17:52:37.099176
05_09_20,5,9,25200,57600,18000,68400,1200,54,3,41.4585,66778,21.251633882522583,OK,2025-12-09T17:52:58.370006
05_09_25,5,9,25200,57600,18000,68400,1500,54,3,39.6189,81937,35.283668994903564,OK,2025-12-09T17:53:33.670937
15_08_10,15,8,25200,54000,18000,68400,600,78,3,165.61650000000006,61268,23.746608018875122,OK,2025-12-09T18:04:16.361804
15_08_15,15,8,25200,54000,18000,68400,900,78,3,160.5923,82965,23.592579126358032,OK,2025-12-09T18:04:39.998666
15_08_20,15,8,25200,54000,18000,68400,1200,78,4,159.70230000000004,104588,21.681880235671997,OK,2025-12-09T18:05:01.723086
15_08_25,15,8,25200,54000,18000,68400,1500,78,5,183.1014,126767,21.75619101524353,OK,2025-12-09T18:05:23.504489
15_08_30,15,8,25200,54000,18000,68400,1800,78,6,167.08759999999998,146684,21.55883288383484,OK,2025-12-09T18:05:45.086207
15_09_05,15,9,25200,57600,18000,68400,300,78,2,152.99929999999998,37776,22.139305114746094,OK,2025-12-09T18:06:07.245093
15_09_10,15,9,25200,57600,18000,68400,600,78,2,150.36169999999998,60116,25.655390977859497,OK,2025-12-09T18:06:32.919908
15_09_15,15,9,25200,57600,18000,68400,900,78,3,153.67519999999993,82502,23.533788919448853,OK,2025-12-09T18:06:56.476273
15_09_20,15,9,25200,57600,18000,68400,1200,78,4,161.95710000000003,104756,22.110015153884888,OK,2025-12-09T18:07:18.607682
15_09_25,15,9,25200,57600,18000,68400,1500,78,4,164.21349999999998,127181,21.390274047851562,OK,2025-12-09T18:07:40.017148
15_09_30,15,9,25200,57600,18000,68400,1800,78,5,164.8753,148113,28.217822074890137,OK,2025-12-09T18:08:08.252269
15_10_05,15,10,25200,61200,18000,68400,300,78,2,152.99929999999998,37776,21.48835587501526,OK,2025-12-09T18:08:29.759478
15_10_10,15,10,25200,61200,18000,68400,600,78,2,156.65409999999994,60514,24.601626873016357,OK,2025-12-09T18:08:54.379098
15_10_15,15,10,25200,61200,18000,68400,900,78,3,157.0384999999999,82893,21.362973928451538,OK,2025-12-09T18:09:15.763026
15_10_20,15,10,25200,61200,18000,68400,1200,78,3,161.0527,105531,22.699602842330933,OK,2025-12-09T18:09:38.480339
15_10_25,15,10,25200,61200,18000,68400,1500,78,4,166.6212,127036,62.13021898269653,OK,2025-12-09T18:10:40.684817
15_10_30,15,10,25200,61200,18000,68400,1800,78,5,176.35410000000002,148723,21.70884394645691,OK,2025-12-09T18:11:02.423984
20_02_05,20,2,25200,32400,18000,68400,300,105,8,291.84659999999997,55549,22.616315841674805,OK,2025-12-09T18:11:25.088300
20_02_10,20,2,25200,32400,18000,68400,600,105,11,374.55739999999975,88152,22.189345836639404,OK,2025-12-09T18:11:47.330498
20_02_15,20,2,25200,32400,18000,68400,900,105,15,359.86889999999994,112464,22.07798194885254,OK,2025-12-09T18:12:09.468226
20_02_20,20,2,25200,32400,18000,68400,1200,105,19,419.81969999999995,139088,32.58846712112427,OK,2025-12-09T18:12:42.135505
20_02_25,20,2,25200,32400,18000,68400,1500,105,22,443.6930999999999,162005,23.15420413017273,OK,2025-12-09T18:13:05.358675
20_02_30,20,2,25200,32400,18000,68400,1800,105,27,504.38909999999976,182889,22.677252769470215,OK,2025-12-09T18:13:28.117558
20_03_05,20,3,25200,36000,18000,68400,300,105,5,262.17679999999996,54496,22.599390983581543,OK,2025-12-09T18:13:50.751792
20_03_10,20,3,25200,36000,18000,68400,600,105,8,290.99519999999995,84420,28.92138171195984,OK,2025-12-09T18:14:19.711275
20_03_15,20,3,25200,36000,18000,68400,900,105,10,310.4430000000001,114426,34.77743911743164,OK,2025-12-09T18:14:54.554825
20_03_20,20,3,25200,36000,18000,68400,1200,105,13,375.99919999999986,143643,27.274441957473755,OK,2025-12-09T18:15:21.880033
20_03_25,20,3,25200,36000,18000,68400,1500,105,16,366.91849999999994,165208,30.456482648849487,OK,2025-12-09T18:15:52.386832
20_03_30,20,3,25200,36000,18000,68400,1800,105,18,397.8865,190746,22.831235885620117,OK,2025-12-09T18:16:15.326225
20_04_05,20,4,25200,39600,18000,68400,300,105,4,250.95309999999995,54263,22.781947135925293,OK,2025-12-09T18:16:38.178161
20_04_10,20,4,25200,39600,18000,68400,600,105,6,254.70069999999998,84288,23.045988082885742,OK,2025-12-09T18:17:01.296914
20_04_15,20,4,25200,39600,18000,68400,900,105,8,291.4425,114569,22.206428289413452,OK,2025-12-09T18:17:23.532255
20_04_20,20,4,25200,39600,18000,68400,1200,105,10,318.7190999999999,142560,25.095274925231934,OK,2025-12-09T18:17:48.656436
20_04_25,20,4,25200,39600,18000,68400,1500,105,12,350.08569999999986,171041,23.310478925704956,OK,2025-12-09T18:18:12.013377
20_04_30,20,4,25200,39600,18000,68400,1800,105,14,360.65909999999997,196092,38.947421073913574,OK,2025-12-09T18:18:51.014270
20_05_05,20,5,25200,43200,18000,68400,300,105,3,252.85370000000003,54064,79.37998795509338,OK,2025-12-09T18:20:10.457155
20_05_10,20,5,25200,43200,18000,68400,600,105,5,253.87420000000012,84079,22.731472969055176,OK,2025-12-09T18:20:33.250721
20_05_15,20,5,25200,43200,18000,68400,900,105,7,265.44660000000005,113474,72.27530097961426,OK,2025-12-09T18:21:45.552005
20_05_20,20,5,25200,43200,18000,68400,1200,105,8,303.1039,143471,22.785753965377808,OK,2025-12-09T18:22:08.393723
